               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077382,            0.031497,            0.021905,             0.46126,             0.55831,             0.49173,             0.24413,            0.032099,            0.012585,            0.010506,            0.070115,           0.0033205,           0.0033205
                   1,            0.053227,            0.022623,            0.010243,              0.5506,             0.75648,             0.63891,             0.29259,            0.030026,           0.0077251,           0.0052967,             0.04005,            0.006588,            0.006588
                   2,              0.0501,             0.01883,           0.0069597,             0.61729,             0.87334,             0.87793,             0.45211,            0.029787,            0.006688,           0.0037685,           0.0099176,           0.0097894,           0.0097894
                   3,            0.042956,            0.016973,           0.0049847,             0.87235,             0.89931,             0.93436,             0.60241,            0.020271,           0.0058121,           0.0023854,            0.009703,            0.009703,            0.009703
                   4,            0.036576,            0.015816,           0.0043841,             0.97324,             0.92911,              0.9837,             0.64067,            0.018552,            0.005361,           0.0025044,            0.009703,            0.009703,            0.009703
                   5,            0.034559,            0.014858,           0.0043915,             0.90429,              0.9667,             0.97394,             0.60469,            0.019253,           0.0056295,           0.0017122,            0.009604,            0.009604,            0.009604
                   6,            0.031787,            0.014902,           0.0041056,             0.93729,             0.96627,             0.98802,              0.6973,            0.015664,           0.0053761,           0.0017813,            0.009505,            0.009505,            0.009505
                   7,            0.029804,            0.013836,           0.0032245,             0.91832,             0.95192,             0.97871,             0.68929,            0.017808,           0.0053048,           0.0011009,            0.009406,            0.009406,            0.009406
                   8,            0.028859,             0.01329,           0.0032667,             0.97772,             0.98029,             0.98912,             0.78731,            0.013513,           0.0051451,           0.0015286,            0.009307,            0.009307,            0.009307
                   9,            0.028426,            0.013066,           0.0030684,             0.96994,             0.96345,             0.99037,             0.69732,            0.015441,           0.0048335,           0.0013071,            0.009208,            0.009208,            0.009208
                  10,            0.026397,            0.013247,           0.0035671,             0.96983,              0.9507,             0.98166,              0.7551,            0.014284,           0.0051867,           0.0018219,            0.009109,            0.009109,            0.009109
                  11,            0.025219,            0.013108,           0.0031209,             0.92799,             0.95081,             0.97788,             0.70157,             0.01593,           0.0047613,           0.0010881,             0.00901,             0.00901,             0.00901
                  12,            0.026129,            0.012713,           0.0029709,             0.97653,             0.97566,             0.99184,             0.78773,            0.012919,           0.0048505,           0.0010462,            0.008911,            0.008911,            0.008911
                  13,            0.025517,            0.012434,           0.0027188,             0.99048,              0.9776,              0.9926,             0.78159,              0.0127,            0.004494,          0.00082472,            0.008812,            0.008812,            0.008812
                  14,            0.024026,            0.012213,           0.0025332,             0.99214,             0.96294,             0.98618,             0.74601,            0.013746,           0.0045448,           0.0010957,            0.008713,            0.008713,            0.008713
                  15,            0.024352,            0.011838,           0.0023326,             0.98163,             0.97637,             0.99065,             0.77956,            0.012094,           0.0045217,          0.00090651,            0.008614,            0.008614,            0.008614
                  16,            0.024109,            0.011985,           0.0019683,             0.98478,              0.9797,             0.99062,             0.81247,            0.011551,           0.0045759,           0.0010085,            0.008515,            0.008515,            0.008515
                  17,            0.023459,            0.011581,           0.0022626,              0.9914,             0.97721,             0.99383,             0.77207,            0.012213,           0.0042719,          0.00098445,            0.008416,            0.008416,            0.008416
                  18,            0.021639,            0.011393,           0.0025304,             0.98616,             0.97854,             0.99324,             0.78518,            0.013825,           0.0043682,          0.00091447,            0.008317,            0.008317,            0.008317
                  19,            0.023062,            0.010971,           0.0018531,              0.9948,              0.9759,             0.99067,             0.82138,            0.011236,            0.004356,          0.00095273,            0.008218,            0.008218,            0.008218
                  20,             0.02199,            0.010924,           0.0019608,             0.98244,             0.97859,             0.99094,             0.78756,            0.011727,           0.0043996,          0.00076899,            0.008119,            0.008119,            0.008119
                  21,             0.02058,             0.01085,           0.0020084,             0.98328,             0.98374,             0.99022,             0.79202,            0.011192,           0.0041604,          0.00084666,             0.00802,             0.00802,             0.00802
                  22,            0.020468,            0.010959,           0.0018292,             0.98972,             0.98424,              0.9939,             0.81952,            0.010261,           0.0039618,            0.001139,            0.007921,            0.007921,            0.007921
                  23,            0.020812,            0.011006,           0.0020778,             0.98782,             0.97793,             0.99355,              0.8399,            0.009643,           0.0040856,          0.00063905,            0.007822,            0.007822,            0.007822
                  24,            0.020348,            0.010512,           0.0014915,              0.9899,             0.98026,             0.98957,              0.8264,            0.010087,           0.0040436,          0.00099034,            0.007723,            0.007723,            0.007723
                  25,            0.019922,           0.0099898,           0.0019696,             0.98869,              0.9784,              0.9927,             0.82855,            0.011211,           0.0040419,          0.00083087,            0.007624,            0.007624,            0.007624
                  26,            0.019466,            0.010731,           0.0017913,              0.9905,             0.97913,             0.99341,             0.83776,            0.009764,           0.0040433,           0.0008689,            0.007525,            0.007525,            0.007525
                  27,            0.019729,            0.010564,           0.0015986,             0.98434,             0.98743,             0.99012,             0.83677,             0.01034,           0.0040039,          0.00069942,            0.007426,            0.007426,            0.007426
                  28,            0.019148,            0.010431,           0.0015309,             0.98156,              0.9852,             0.98804,             0.83101,            0.010447,           0.0040349,          0.00076974,            0.007327,            0.007327,            0.007327
                  29,            0.019007,            0.010173,           0.0015237,             0.99142,             0.98599,             0.99121,             0.84234,           0.0092673,            0.003931,          0.00082439,            0.007228,            0.007228,            0.007228
