epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3428,0.8962,2.03449,1.16217,0.9524,0.89677,0.96618,0.79875,0.70411,1.02262,0.9958,0.000553529,0.000553529,0.000553529
2,62.8777,0.91806,1.33555,1.13164,0.82661,0.88446,0.93405,0.70197,0.9019,1.31811,1.18704,0.00109822,0.00109822,0.00109822
3,92.0105,0.92422,1.16411,1.13737,0.78906,0.83941,0.9358,0.76054,0.7416,1.09578,1.05024,0.0016319,0.0016319,0.0016319
4,121.395,0.91831,1.04009,1.1438,0.94912,0.95282,0.97631,0.79743,0.68188,0.68403,0.98586,0.00161749,0.00161749,0.00161749
5,150.461,0.8826,0.96984,1.11139,0.94777,0.96024,0.98284,0.82267,0.65714,0.55659,0.98286,0.00160099,0.00160099,0.00160099
6,180.452,0.85772,0.83667,1.09806,0.94387,0.91366,0.96591,0.81567,0.6148,0.62189,0.95182,0.00158448,0.00158448,0.00158448
7,209.978,0.82249,0.76568,1.08481,0.94692,0.93604,0.97646,0.82618,0.62754,0.55371,0.9582,0.00156798,0.00156798,0.00156798
8,242.95,0.80673,0.7476,1.08026,0.97393,0.95583,0.98534,0.8182,0.65284,0.53278,0.99404,0.00155148,0.00155148,0.00155148
9,275.64,0.81394,0.74314,1.08683,0.92628,0.96413,0.98428,0.83382,0.59918,0.50338,0.94956,0.00153497,0.00153497,0.00153497
10,307.117,0.77326,0.68075,1.05308,0.97794,0.95664,0.98477,0.84799,0.58182,0.4691,0.93489,0.00151847,0.00151847,0.00151847
11,337.346,0.76788,0.67615,1.05831,0.9888,0.98138,0.98531,0.85223,0.58671,0.4151,0.92634,0.00150197,0.00150197,0.00150197
12,368.056,0.76172,0.64088,1.05125,0.98255,0.96379,0.98793,0.84078,0.60307,0.42852,0.9486,0.00148546,0.00148546,0.00148546
13,398.43,0.73111,0.60774,1.03575,0.96798,0.96596,0.98661,0.8528,0.563,0.42681,0.92315,0.00146896,0.00146896,0.00146896
14,427.961,0.73309,0.613,1.03199,0.98781,0.98138,0.98598,0.86345,0.5339,0.38626,0.91399,0.00145246,0.00145246,0.00145246
15,457.345,0.72149,0.58183,1.03187,0.97676,0.95877,0.98171,0.84807,0.56377,0.4149,0.93731,0.00143595,0.00143595,0.00143595
16,486.924,0.71809,0.58013,1.0383,0.99023,0.98423,0.98641,0.86467,0.52422,0.37665,0.90845,0.00141945,0.00141945,0.00141945
17,516.464,0.71331,0.56246,1.02927,0.9866,0.96882,0.98641,0.8591,0.52958,0.39148,0.90254,0.00140295,0.00140295,0.00140295
18,546.36,0.71671,0.56142,1.02867,0.97991,0.96847,0.98433,0.86762,0.52961,0.38928,0.90738,0.00138644,0.00138644,0.00138644
19,575.909,0.70057,0.57067,1.02991,0.96929,0.96847,0.98754,0.8643,0.54018,0.39896,0.92638,0.00136994,0.00136994,0.00136994
20,605.395,0.71144,0.56316,1.03301,0.98753,0.97722,0.98612,0.85077,0.55193,0.37209,0.93488,0.00135344,0.00135344,0.00135344
21,634.886,0.70147,0.54666,1.0345,0.9877,0.96847,0.98661,0.85378,0.56173,0.3675,0.92755,0.00133693,0.00133693,0.00133693
22,664.382,0.69606,0.54225,1.02694,0.99194,0.97245,0.98943,0.8642,0.53522,0.36269,0.92278,0.00132043,0.00132043,0.00132043
23,693.703,0.70588,0.54906,1.03209,0.98869,0.97416,0.99097,0.86964,0.49155,0.34742,0.88939,0.00130393,0.00130393,0.00130393
24,723.326,0.68486,0.51993,1.02017,0.99231,0.97381,0.99108,0.87574,0.49844,0.36575,0.89392,0.00128742,0.00128742,0.00128742
25,752.992,0.66286,0.51532,1.00534,0.99012,0.97502,0.98575,0.87227,0.48656,0.32036,0.8775,0.00127092,0.00127092,0.00127092
26,782.373,0.66651,0.50249,1.01106,0.99065,0.97214,0.98938,0.87984,0.50436,0.31203,0.89688,0.00125442,0.00125442,0.00125442
27,811.862,0.67008,0.49572,1.00053,0.99788,0.98138,0.98685,0.87326,0.50206,0.32174,0.89813,0.00123791,0.00123791,0.00123791
